 python dataset-files-rearrange.py

=== AD -> Alzehiemers: auto-detected start = patient37 ===
    (80 Eyes_closed Pacientes, 80 Eyes_open Pacientes found)
  [ok] Paciente12  (Eyes_open)   -> patient48  (19 channel files)
  [ok] Paciente13  (Eyes_open)   -> patient49  (19 channel files)
  [ok] Paciente14  (Eyes_open)   -> patient50  (19 channel files)
  [ok] Paciente15  (Eyes_open)   -> patient51  (19 channel files)
  [ok] Paciente16  (Eyes_open)   -> patient52  (19 channel files)
  [ok] Paciente17  (Eyes_open)   -> patient53  (19 channel files)
  [ok] Paciente18  (Eyes_open)   -> patient54  (19 channel files)
  [ok] Paciente19  (Eyes_open)   -> patient55  (19 channel files)
  [ok] Paciente20  (Eyes_open)   -> patient56  (19 channel files)
  [ok] Paciente21  (Eyes_open)   -> patient57  (19 channel files)
  [ok] Paciente22  (Eyes_open)   -> patient58  (19 channel files)
  [ok] Paciente23  (Eyes_open)   -> patient59  (19 channel files)
  [ok] Paciente24  (Eyes_open)   -> patient60  (19 channel files)
  [ok] Paciente25  (Eyes_open)   -> patient61  (19 channel files)
  [ok] Paciente26  (Eyes_open)   -> patient62  (19 channel files)
  [ok] Paciente27  (Eyes_open)   -> patient63  (19 channel files)
  [ok] Paciente28  (Eyes_open)   -> patient64  (19 channel files)
  [ok] Paciente29  (Eyes_open)   -> patient65  (19 channel files)
  [ok] Paciente30  (Eyes_open)   -> patient66  (19 channel files)
  [ok] Paciente31  (Eyes_open)   -> patient67  (19 channel files)
  [ok] Paciente32  (Eyes_open)   -> patient68  (19 channel files)
  [ok] Paciente33  (Eyes_open)   -> patient69  (19 channel files)
  [ok] Paciente34  (Eyes_open)   -> patient70  (19 channel files)
  [ok] Paciente35  (Eyes_open)   -> patient71  (19 channel files)
  [ok] Paciente36  (Eyes_open)   -> patient72  (19 channel files)
  [ok] Paciente37  (Eyes_open)   -> patient73  (19 channel files)
  [ok] Paciente38  (Eyes_open)   -> patient74  (19 channel files)
  [ok] Paciente39  (Eyes_open)   -> patient75  (19 channel files)
  [ok] Paciente40  (Eyes_open)   -> patient76  (19 channel files)
  [ok] Paciente41  (Eyes_open)   -> patient77  (19 channel files)
  [ok] Paciente42  (Eyes_open)   -> patient78  (19 channel files)
  [ok] Paciente43  (Eyes_open)   -> patient79  (19 channel files)
  [ok] Paciente44  (Eyes_open)   -> patient80  (19 channel files)
  [ok] Paciente45  (Eyes_open)   -> patient81  (19 channel files)
  [ok] Paciente46  (Eyes_open)   -> patient82  (19 channel files)
  [ok] Paciente47  (Eyes_open)   -> patient83  (19 channel files)
  [ok] Paciente48  (Eyes_open)   -> patient84  (19 channel files)
  [ok] Paciente49  (Eyes_open)   -> patient85  (19 channel files)
  [ok] Paciente50  (Eyes_open)   -> patient86  (19 channel files)
  [ok] Paciente51  (Eyes_open)   -> patient87  (19 channel files)
  [ok] Paciente52  (Eyes_open)   -> patient88  (19 channel files)
  [ok] Paciente53  (Eyes_open)   -> patient89  (19 channel files)
  [ok] Paciente54  (Eyes_open)   -> patient90  (19 channel files)
  [ok] Paciente55  (Eyes_open)   -> patient91  (19 channel files)
  [ok] Paciente56  (Eyes_open)   -> patient92  (19 channel files)
  [ok] Paciente57  (Eyes_open)   -> patient93  (19 channel files)
  [ok] Paciente58  (Eyes_open)   -> patient94  (19 channel files)
  [ok] Paciente59  (Eyes_open)   -> patient95  (19 channel files)
  [ok] Paciente60  (Eyes_open)   -> patient96  (19 channel files)
  [ok] Paciente61  (Eyes_open)   -> patient97  (19 channel files)
  [ok] Paciente62  (Eyes_open)   -> patient98  (19 channel files)
  [ok] Paciente63  (Eyes_open)   -> patient99  (19 channel files)
  [ok] Paciente64  (Eyes_open)   -> patient100  (19 channel files)
  [ok] Paciente65  (Eyes_open)   -> patient101  (19 channel files)
  [ok] Paciente66  (Eyes_open)   -> patient102  (19 channel files)
  [ok] Paciente67  (Eyes_open)   -> patient103  (19 channel files)
  [ok] Paciente68  (Eyes_open)   -> patient104  (19 channel files)
  [ok] Paciente69  (Eyes_open)   -> patient105  (19 channel files)
  [ok] Paciente70  (Eyes_open)   -> patient106  (19 channel files)
  [ok] Paciente71  (Eyes_open)   -> patient107  (19 channel files)
  [ok] Paciente72  (Eyes_open)   -> patient108  (19 channel files)
  [ok] Paciente73  (Eyes_open)   -> patient109  (19 channel files)
  [ok] Paciente74  (Eyes_open)   -> patient110  (19 channel files)
  [ok] Paciente75  (Eyes_open)   -> patient111  (19 channel files)
  [ok] Paciente76  (Eyes_open)   -> patient112  (19 channel files)
  [ok] Paciente77  (Eyes_open)   -> patient113  (19 channel files)
  [ok] Paciente78  (Eyes_open)   -> patient114  (19 channel files)
  [ok] Paciente79  (Eyes_open)   -> patient115  (19 channel files)
  [ok] Paciente80  (Eyes_open)   -> patient116  (19 channel files)

=== Healthy -> Healthy: auto-detected start = patient30 ===
    (12 Eyes_closed Pacientes, 12 Eyes_open Pacientes found)
  [ok] Paciente1   (Eyes_closed) -> patient30  (19 channel files)
  [ok] Paciente2   (Eyes_closed) -> patient31  (19 channel files)
  [ok] Paciente3   (Eyes_closed) -> patient32  (19 channel files)
  [ok] Paciente4   (Eyes_closed) -> patient33  (19 channel files)
  [ok] Paciente5   (Eyes_closed) -> patient34  (19 channel files)
  [ok] Paciente6   (Eyes_closed) -> patient35  (19 channel files)
