model,accuracy,balanced_accuracy,sensitivity_recall,specificity,precision,f1,roc_auc,pr_auc,mcc,cohen_kappa,brier_score,TN,FP,FN,TP,n_subjects
LogisticRegression,0.7941176470588235,0.8020833333333333,0.9375,0.6666666666666666,0.7142857142857143,0.8108108108108109,0.8819444444444445,0.8489598942723944,0.6205427141408237,0.5938566552901023,0.13194697834184624,12,6,1,15,34
SVM,0.8235294117647058,0.8159722222222222,0.6875,0.9444444444444444,0.9166666666666666,0.7857142857142857,0.8298611111111112,0.8762881976697766,0.6600444454986877,0.6408450704225352,0.16613097670153382,17,1,5,11,34
RandomForest,0.8235294117647058,0.8263888888888888,0.875,0.7777777777777778,0.7777777777777778,0.8235294117647058,0.8958333333333335,0.9055813891191928,0.6527777777777778,0.6482758620689655,0.13539052287581702,14,4,2,14,34
EEGNet,0.8529411764705882,0.8611111111111112,1.0,0.7222222222222222,0.7619047619047619,0.8648648648648649,0.9409722222222222,0.9392113095238095,0.7417981870189158,0.7098976109215016,0.10200358138564936,13,5,0,16,34
ImprovedDNN,0.8529411764705882,0.8576388888888888,0.9375,0.7777777777777778,0.7894736842105263,0.8571428571428571,0.9513888888888888,0.9458917920314979,0.7190325425674107,0.7079037800687284,0.1123378206307663,14,4,1,15,34
