accuracy,balanced_accuracy,sensitivity_recall,specificity,precision,f1,roc_auc,pr_auc,mcc,cohen_kappa,brier_score,TN,FP,FN,TP,n_subjects,fold
0.9347826086956522,0.9347826086956521,0.8695652173913043,1.0,1.0,0.9302325581395349,1.0,0.9999999999999998,0.8770580193070292,0.8695652173913043,0.05099953080636066,23,0,3,20,46,0
0.9318181818181818,0.9291666666666667,0.9,0.9583333333333334,0.9473684210526315,0.9230769230769231,0.9895833333333333,0.9875451887293993,0.8628390510808928,0.8619246861924686,0.05656433893582244,23,1,2,18,44,1
0.9534883720930233,0.9532608695652174,0.95,0.9565217391304348,0.95,0.95,0.9956521739130435,0.9954545454545455,0.9065217391304348,0.9065217391304348,0.024185935104095547,22,1,1,19,43,2
0.8571428571428571,0.8636363636363636,1.0,0.7272727272727273,0.7692307692307693,0.8695652173913043,0.9568181818181818,0.9516517561815551,0.7479575920067657,0.7174887892376681,0.10442416487344945,16,6,0,20,42,3
0.8636363636363636,0.8636363636363636,0.9090909090909091,0.8181818181818182,0.8333333333333334,0.8695652173913043,0.9400826446280992,0.93970712622544,0.7302967433402214,0.7272727272727273,0.10194035322061223,18,4,2,20,44,4
