class,channel,subjects,mean_amplitude,mean_std,global_min,global_max,mean_duration
Alzheimer,Fp1,116,-17.55705970786979,75.85556850637705,-5386.59488,6678.90281,258.9948141163793
Alzheimer,Fp2,116,-6.967183348078448,82.24659641944896,-4414.94074,4811.48256,258.9948141163793
Alzheimer,F3,116,-2.309209586640373,67.79384857820729,-4416.36998,6374.53814,258.9948141163793
Alzheimer,F4,116,7.544769861551999,70.65356259165243,-4955.93,4467.29615,258.9948141163793
Alzheimer,F7,116,-3.7381310701083956,76.56911357716723,-4449.70954,6417.80265,258.9948141163793
Alzheimer,F8,116,12.858701943151173,74.57864872174635,-4533.64415,4384.82743,258.9948141163793
Alzheimer,Fz,116,-3.4279536293859247,62.898189982789674,-4468.90104,3828.81724,258.9948141163793
Alzheimer,C3,116,2.0163905952954893,58.57272306795247,-4468.41717,3740.34586,258.9948141163793
Alzheimer,C4,116,3.5055868589503043,59.01026327877976,-3552.04564,3848.43168,258.9948141163793
Alzheimer,Cz,116,-2.4643424233344717,65.12614564713469,-3752.92895,3729.09499,258.9948141163793
Alzheimer,P3,116,11.709041813173247,77.33584292761915,-4521.28797,5757.6161,258.9948141163793
Alzheimer,P4,116,-0.5394418293542944,76.5827348507682,-4909.15177,6368.55093,258.9948141163793
Alzheimer,Pz,116,6.829004346340518,67.16842630353973,-3804.01425,5384.24876,258.9948141163793
Alzheimer,T3,116,4.778368105049046,65.22218588013132,-4461.06272,3939.20385,258.9948141163793
Alzheimer,T4,116,0.12590825930797642,78.67604206456508,-4167.45266,4486.41608,258.9948141163793
Alzheimer,T5,116,2.9381217671469027,71.96782461927313,-4815.49613,5865.58795,258.9948141163793
Alzheimer,T6,116,24.903938392295082,72.05978836028811,-4472.63624,5770.63058,258.9948141163793
Alzheimer,O1,116,9.434450976926026,80.14045130843066,-4459.69457,6420.91391,258.9948141163793
Alzheimer,O2,116,0.4435783559988694,102.79164285398198,-4475.40652,5846.06783,258.9948141163793
Healthy,Fp1,116,-1.7197954359616476,57.748969073745236,-3344.05994,3770.60953,1095.1392106681035
Healthy,Fp2,116,-10.11166167065188,59.34468042640768,-3599.23817,3189.00627,1095.1392106681035
Healthy,F3,116,-2.7401295433562827,49.81186708743865,-3693.42615,3146.74704,1095.1392106681035
Healthy,F4,116,-3.300979578976408,53.63599798561092,-3544.52202,3260.90891,1095.1392106681035
Healthy,F7,116,-5.770920799542336,56.51728268403639,-4681.43812,4977.64046,1095.1392106681035
Healthy,F8,116,2.2187507866733567,61.58366373394549,-3716.68185,2740.20092,1095.1392106681035
Healthy,Fz,116,-10.2737862565508,45.95902229957507,-3437.16245,2607.68899,1095.1392106681035
Healthy,C3,116,-4.144698265045382,33.48881726958615,-3506.16257,3323.26266,1095.1392106681035
Healthy,C4,116,1.6025797219054065,33.40574160873039,-3195.34084,2827.34097,1095.1392106681035
Healthy,Cz,116,3.148843744522456,43.560801177658746,-3201.77428,3305.7189,1095.1392106681035
Healthy,P3,116,1.005103778066376,48.24844028694445,-3498.9536,3222.25442,1095.1392106681035
Healthy,P4,116,-12.171598105284966,45.76983982277161,-3480.41047,3779.55085,1095.1392106681035
Healthy,Pz,116,-5.594268850779834,46.541271074009394,-4146.11541,5030.24916,1095.1392106681035
Healthy,T3,116,0.8723439701229043,47.12319261653938,-3378.69153,2959.01971,1095.1392106681035
Healthy,T4,116,-2.4210068909933034,61.33053347945476,-4330.86286,5797.56674,1095.1392106681035
Healthy,T5,116,1.8823363169456346,49.064158896626445,-3453.61524,3310.55866,1095.1392106681035
Healthy,T6,116,1.6586657390167685,58.690359343966705,-4984.84087,5735.82963,1095.1392106681035
Healthy,O1,116,5.724636117883923,58.104444156510006,-4320.67218,4316.44835,1095.1392106681035
Healthy,O2,116,0.14880207478629875,70.44057380144037,-4180.211,6256.00119,1095.1392106681035
